Year,Fatal/non-fatal,Sex,Nationality,Value
1980,Total,Both,All,8
1981,Total,Both,All,8
1982,Total,Both,All,7
1983,Total,Both,All,3
1984,Total,Both,All,344
1985,Total,Both,All,358
1986,Total,Both,All,380
1987,Total,Both,All,403
1988,Total,Both,All,417
1989,Total,Both,All,444
1990,Total,Both,All,763
1991,Total,Both,All,668
1992,Total,Both,All,672
1993,Total,Both,All,670
1994,Total,Both,All,673
1995,Total,Both,All,884
1996,Total,Both,All,1084
1997,Total,Both,All,1236
1998,Total,Both,All,1337
1999,Total,Both,All,1360
2000,Total,Both,All,1444
2001,Total,Both,All,1419
2002,Total,Both,All,1398
2003,Total,Both,All,1476
2004,Total,Both,All,1879
2005,Total,Both,All,1633
2006,Total,Both,All,1740
2007,Total,Both,All,1926
2008,Total,Both,All,1865
2009,Total,Both,All,1367
2010,Total,Both,All,1339
2011,Total,Both,All,1557
2012,Total,Both,All,1642
2013,Total,Both,All,1803
2014,Total,Both,All,1967
2015,Total,Both,All,2085
2016,Total,Both,All,2117
2017,Total,Both,All,2137
2018,Total,Both,All,2204
2019,Total,Both,All,2234
2020,Total,Both,All,1810
2021,Total,Both,All,1877
2022,Total,Both,All,1950
1980,Fatal,Both,All,8
1981,Fatal,Both,All,8
1982,Fatal,Both,All,7
1983,Fatal,Both,All,3
1984,Fatal,Both,All,5
1985,Fatal,Both,All,6
1986,Fatal,Both,All,5
1987,Fatal,Both,All,4
1988,Fatal,Both,All,1
1989,Fatal,Both,All,7
1990,Fatal,Both,All,5
1991,Fatal,Both,All,9
1992,Fatal,Both,All,4
1993,Fatal,Both,All,4
1994,Fatal,Both,All,8
1995,Fatal,Both,All,3
1996,Fatal,Both,All,3
1997,Fatal,Both,All,4
1998,Fatal,Both,All,2
1999,Fatal,Both,All,7
2000,Fatal,Both,All,4
2001,Fatal,Both,All,3
2002,Fatal,Both,All,0
2003,Fatal,Both,All,4
2004,Fatal,Both,All,2
2005,Fatal,Both,All,3
2006,Fatal,Both,All,6
2007,Fatal,Both,All,4
2008,Fatal,Both,All,5
2009,Fatal,Both,All,3
2010,Fatal,Both,All,3
2011,Fatal,Both,All,3
2012,Fatal,Both,All,0
2013,Fatal,Both,All,1
2014,Fatal,Both,All,2
2015,Fatal,Both,All,2
2016,Fatal,Both,All,4
2017,Fatal,Both,All,2
2018,Fatal,Both,All,3
2019,Fatal,Both,All,2
2020,Fatal,Both,All,3
2021,Fatal,Both,All,3
2022,Fatal,Both,All,1
1980,Fatal,Male,All,8
1981,Fatal,Male,All,8
1982,Fatal,Male,All,7
1983,Fatal,Male,All,3
1984,Fatal,Male,All,4
1985,Fatal,Male,All,5
1986,Fatal,Male,All,5
1987,Fatal,Male,All,4
1988,Fatal,Male,All,1
1989,Fatal,Male,All,6
1990,Fatal,Male,All,5
1991,Fatal,Male,All,9
1992,Fatal,Male,All,4
1993,Fatal,Male,All,4
1994,Fatal,Male,All,8
1995,Fatal,Male,All,3
1996,Fatal,Male,All,3
1997,Fatal,Male,All,4
1998,Fatal,Male,All,2
1999,Fatal,Male,All,5
2000,Fatal,Male,All,4
2001,Fatal,Male,All,3
2002,Fatal,Male,All,0
2003,Fatal,Male,All,4
2004,Fatal,Male,All,2
2005,Fatal,Male,All,3
2006,Fatal,Male,All,6
2007,Fatal,Male,All,4
2008,Fatal,Male,All,5
2009,Fatal,Male,All,3
2010,Fatal,Male,All,3
2011,Fatal,Male,All,3
2012,Fatal,Male,All,0
2013,Fatal,Male,All,0
2014,Fatal,Male,All,1
2015,Fatal,Male,All,2
2016,Fatal,Male,All,4
2017,Fatal,Male,All,2
2018,Fatal,Male,All,3
2019,Fatal,Male,All,2
2020,Fatal,Male,All,3
2021,Fatal,Male,All,3
2022,Fatal,Male,All,1
1980,Fatal,Female,All,0
1981,Fatal,Female,All,0
1982,Fatal,Female,All,0
1983,Fatal,Female,All,0
1984,Fatal,Female,All,1
1985,Fatal,Female,All,1
1986,Fatal,Female,All,0
1987,Fatal,Female,All,0
1988,Fatal,Female,All,0
1989,Fatal,Female,All,1
1990,Fatal,Female,All,0
1991,Fatal,Female,All,0
1992,Fatal,Female,All,0
1993,Fatal,Female,All,0
1994,Fatal,Female,All,0
1995,Fatal,Female,All,0
1996,Fatal,Female,All,0
1997,Fatal,Female,All,0
1998,Fatal,Female,All,0
1999,Fatal,Female,All,2
2000,Fatal,Female,All,0
2001,Fatal,Female,All,0
2002,Fatal,Female,All,0
2003,Fatal,Female,All,0
2004,Fatal,Female,All,0
2005,Fatal,Female,All,0
2006,Fatal,Female,All,0
2007,Fatal,Female,All,0
2008,Fatal,Female,All,0
2009,Fatal,Female,All,0
2010,Fatal,Female,All,0
2011,Fatal,Female,All,0
2012,Fatal,Female,All,0
2013,Fatal,Female,All,1
2014,Fatal,Female,All,1
2015,Fatal,Female,All,0
2016,Fatal,Female,All,0
2017,Fatal,Female,All,0
2018,Fatal,Female,All,0
2019,Fatal,Female,All,0
2020,Fatal,Female,All,0
2021,Fatal,Female,All,0
2022,Fatal,Female,All,0
1980,non-fatal,Male,All,0
1981,non-fatal,Male,All,0
1982,non-fatal,Male,All,0
1983,non-fatal,Male,All,0
1984,non-fatal,Male,All,268
1985,non-fatal,Male,All,277
1986,non-fatal,Male,All,303
1987,non-fatal,Male,All,304
1988,non-fatal,Male,All,341
1989,non-fatal,Male,All,326
1990,non-fatal,Male,All,599
1991,non-fatal,Male,All,522
1992,non-fatal,Male,All,530
1993,non-fatal,Male,All,505
1994,non-fatal,Male,All,485
1995,non-fatal,Male,All,670
1996,non-fatal,Male,All,816
1997,non-fatal,Male,All,947
1998,non-fatal,Male,All,1019
1999,non-fatal,Male,All,1002
2000,non-fatal,Male,All,1045
2001,non-fatal,Male,All,1029
2002,non-fatal,Male,All,963
2003,non-fatal,Male,All,1065
2004,non-fatal,Male,All,1428
2005,non-fatal,Male,All,1221
2006,non-fatal,Male,All,1328
2007,non-fatal,Male,All,1450
2008,non-fatal,Male,All,1368
2009,non-fatal,Male,All,936
2010,non-fatal,Male,All,859
2011,non-fatal,Male,All,1017
2012,non-fatal,Male,All,1055
2013,non-fatal,Male,All,1191
2014,non-fatal,Male,All,1255
2015,non-fatal,Male,All,1320
2016,non-fatal,Male,All,1361
2017,non-fatal,Male,All,1393
2018,non-fatal,Male,All,1436
2019,non-fatal,Male,All,1378
2020,non-fatal,Male,All,1142
2021,non-fatal,Male,All,1174
2022,non-fatal,Male,All,1256
1980,non-fatal,Female,All,0
1981,non-fatal,Female,All,0
1982,non-fatal,Female,All,0
1983,non-fatal,Female,All,0
1984,non-fatal,Female,All,71
1985,non-fatal,Female,All,75
1986,non-fatal,Female,All,72
1987,non-fatal,Female,All,95
1988,non-fatal,Female,All,75
1989,non-fatal,Female,All,111
1990,non-fatal,Female,All,159
1991,non-fatal,Female,All,137
1992,non-fatal,Female,All,138
1993,non-fatal,Female,All,161
1994,non-fatal,Female,All,180
1995,non-fatal,Female,All,211
1996,non-fatal,Female,All,265
1997,non-fatal,Female,All,285
1998,non-fatal,Female,All,316
1999,non-fatal,Female,All,351
2000,non-fatal,Female,All,395
2001,non-fatal,Female,All,387
2002,non-fatal,Female,All,435
2003,non-fatal,Female,All,407
2004,non-fatal,Female,All,449
2005,non-fatal,Female,All,409
2006,non-fatal,Female,All,406
2007,non-fatal,Female,All,472
2008,non-fatal,Female,All,492
2009,non-fatal,Female,All,428
2010,non-fatal,Female,All,477
2011,non-fatal,Female,All,537
2012,non-fatal,Female,All,587
2013,non-fatal,Female,All,611
2014,non-fatal,Female,All,710
2015,non-fatal,Female,All,763
2016,non-fatal,Female,All,752
2017,non-fatal,Female,All,742
2018,non-fatal,Female,All,765
2019,non-fatal,Female,All,854
2020,non-fatal,Female,All,665
2021,non-fatal,Female,All,700
2022,non-fatal,Female,All,693
1980,non-fatal,Both,All,0
1981,non-fatal,Both,All,0
1982,non-fatal,Both,All,0
1983,non-fatal,Both,All,0
1984,non-fatal,Both,All,339
1985,non-fatal,Both,All,352
1986,non-fatal,Both,All,375
1987,non-fatal,Both,All,399
1988,non-fatal,Both,All,416
1989,non-fatal,Both,All,437
1990,non-fatal,Both,All,758
1991,non-fatal,Both,All,659
1992,non-fatal,Both,All,668
1993,non-fatal,Both,All,666
1994,non-fatal,Both,All,665
1995,non-fatal,Both,All,881
1996,non-fatal,Both,All,1081
1997,non-fatal,Both,All,1232
1998,non-fatal,Both,All,1335
1999,non-fatal,Both,All,1353
2000,non-fatal,Both,All,1440
2001,non-fatal,Both,All,1416
2002,non-fatal,Both,All,1398
2003,non-fatal,Both,All,1472
2004,non-fatal,Both,All,1877
2005,non-fatal,Both,All,1630
2006,non-fatal,Both,All,1734
2007,non-fatal,Both,All,1922
2008,non-fatal,Both,All,1860
2009,non-fatal,Both,All,1364
2010,non-fatal,Both,All,1336
2011,non-fatal,Both,All,1554
2012,non-fatal,Both,All,1642
2013,non-fatal,Both,All,1802
2014,non-fatal,Both,All,1965
2015,non-fatal,Both,All,2083
2016,non-fatal,Both,All,2113
2017,non-fatal,Both,All,2135
2018,non-fatal,Both,All,2201
2019,non-fatal,Both,All,2232
2020,non-fatal,Both,All,1807
2021,non-fatal,Both,All,1874
2022,non-fatal,Both,All,1949
1980,Total,Both,Icelandic,8
1981,Total,Both,Icelandic,8
1982,Total,Both,Icelandic,7
1983,Total,Both,Icelandic,3
1984,Total,Both,Icelandic,340
1985,Total,Both,Icelandic,350
1986,Total,Both,Icelandic,372
1987,Total,Both,Icelandic,394
1988,Total,Both,Icelandic,403
1989,Total,Both,Icelandic,432
1990,Total,Both,Icelandic,742
1991,Total,Both,Icelandic,651
1992,Total,Both,Icelandic,661
1993,Total,Both,Icelandic,664
1994,Total,Both,Icelandic,665
1995,Total,Both,Icelandic,873
1996,Total,Both,Icelandic,1066
1997,Total,Both,Icelandic,1216
1998,Total,Both,Icelandic,1316
1999,Total,Both,Icelandic,1321
2000,Total,Both,Icelandic,1393
2001,Total,Both,Icelandic,1370
2002,Total,Both,Icelandic,1353
2003,Total,Both,Icelandic,1375
2004,Total,Both,Icelandic,1373
2005,Total,Both,Icelandic,1221
2006,Total,Both,Icelandic,1231
2007,Total,Both,Icelandic,1293
2008,Total,Both,Icelandic,1451
2009,Total,Both,Icelandic,1188
2010,Total,Both,Icelandic,1185
2011,Total,Both,Icelandic,1386
2012,Total,Both,Icelandic,1456
2013,Total,Both,Icelandic,1553
2014,Total,Both,Icelandic,1689
2015,Total,Both,Icelandic,1796
2016,Total,Both,Icelandic,1749
2017,Total,Both,Icelandic,1702
2018,Total,Both,Icelandic,1654
2019,Total,Both,Icelandic,1678
2020,Total,Both,Icelandic,1408
2021,Total,Both,Icelandic,1410
2022,Total,Both,Icelandic,1366
1980,Fatal,Both,Icelandic,8
1981,Fatal,Both,Icelandic,8
1982,Fatal,Both,Icelandic,7
1983,Fatal,Both,Icelandic,3
1984,Fatal,Both,Icelandic,5
1985,Fatal,Both,Icelandic,6
1986,Fatal,Both,Icelandic,4
1987,Fatal,Both,Icelandic,4
1988,Fatal,Both,Icelandic,1
1989,Fatal,Both,Icelandic,7
1990,Fatal,Both,Icelandic,5
1991,Fatal,Both,Icelandic,9
1992,Fatal,Both,Icelandic,4
1993,Fatal,Both,Icelandic,4
1994,Fatal,Both,Icelandic,8
1995,Fatal,Both,Icelandic,3
1996,Fatal,Both,Icelandic,3
1997,Fatal,Both,Icelandic,4
1998,Fatal,Both,Icelandic,2
1999,Fatal,Both,Icelandic,7
2000,Fatal,Both,Icelandic,4
2001,Fatal,Both,Icelandic,3
2002,Fatal,Both,Icelandic,0
2003,Fatal,Both,Icelandic,4
2004,Fatal,Both,Icelandic,2
2005,Fatal,Both,Icelandic,3
2006,Fatal,Both,Icelandic,5
2007,Fatal,Both,Icelandic,2
2008,Fatal,Both,Icelandic,2
2009,Fatal,Both,Icelandic,3
2010,Fatal,Both,Icelandic,2
2011,Fatal,Both,Icelandic,3
2012,Fatal,Both,Icelandic,0
2013,Fatal,Both,Icelandic,1
2014,Fatal,Both,Icelandic,1
2015,Fatal,Both,Icelandic,2
2016,Fatal,Both,Icelandic,4
2017,Fatal,Both,Icelandic,1
2018,Fatal,Both,Icelandic,2
2019,Fatal,Both,Icelandic,1
2020,Fatal,Both,Icelandic,2
2021,Fatal,Both,Icelandic,2
2022,Fatal,Both,Icelandic,1
1980,Fatal,Male,Icelandic,8
1981,Fatal,Male,Icelandic,8
1982,Fatal,Male,Icelandic,7
1983,Fatal,Male,Icelandic,3
1984,Fatal,Male,Icelandic,4
1985,Fatal,Male,Icelandic,5
1986,Fatal,Male,Icelandic,4
1987,Fatal,Male,Icelandic,4
1988,Fatal,Male,Icelandic,1
1989,Fatal,Male,Icelandic,6
1990,Fatal,Male,Icelandic,5
1991,Fatal,Male,Icelandic,9
1992,Fatal,Male,Icelandic,4
1993,Fatal,Male,Icelandic,4
1994,Fatal,Male,Icelandic,8
1995,Fatal,Male,Icelandic,3
1996,Fatal,Male,Icelandic,3
1997,Fatal,Male,Icelandic,4
1998,Fatal,Male,Icelandic,2
1999,Fatal,Male,Icelandic,5
2000,Fatal,Male,Icelandic,4
2001,Fatal,Male,Icelandic,3
2002,Fatal,Male,Icelandic,0
2003,Fatal,Male,Icelandic,4
2004,Fatal,Male,Icelandic,2
2005,Fatal,Male,Icelandic,3
2006,Fatal,Male,Icelandic,5
2007,Fatal,Male,Icelandic,2
2008,Fatal,Male,Icelandic,2
2009,Fatal,Male,Icelandic,3
2010,Fatal,Male,Icelandic,2
2011,Fatal,Male,Icelandic,3
2012,Fatal,Male,Icelandic,0
2013,Fatal,Male,Icelandic,0
2014,Fatal,Male,Icelandic,1
2015,Fatal,Male,Icelandic,2
2016,Fatal,Male,Icelandic,4
2017,Fatal,Male,Icelandic,1
2018,Fatal,Male,Icelandic,2
2019,Fatal,Male,Icelandic,1
2020,Fatal,Male,Icelandic,2
2021,Fatal,Male,Icelandic,2
2022,Fatal,Male,Icelandic,1
1980,Fatal,Female,Icelandic,0
1981,Fatal,Female,Icelandic,0
1982,Fatal,Female,Icelandic,0
1983,Fatal,Female,Icelandic,0
1984,Fatal,Female,Icelandic,1
1985,Fatal,Female,Icelandic,1
1986,Fatal,Female,Icelandic,0
1987,Fatal,Female,Icelandic,0
1988,Fatal,Female,Icelandic,0
1989,Fatal,Female,Icelandic,1
1990,Fatal,Female,Icelandic,0
1991,Fatal,Female,Icelandic,0
1992,Fatal,Female,Icelandic,0
1993,Fatal,Female,Icelandic,0
1994,Fatal,Female,Icelandic,0
1995,Fatal,Female,Icelandic,0
1996,Fatal,Female,Icelandic,0
1997,Fatal,Female,Icelandic,0
1998,Fatal,Female,Icelandic,0
1999,Fatal,Female,Icelandic,2
2000,Fatal,Female,Icelandic,0
2001,Fatal,Female,Icelandic,0
2002,Fatal,Female,Icelandic,0
2003,Fatal,Female,Icelandic,0
2004,Fatal,Female,Icelandic,0
2005,Fatal,Female,Icelandic,0
2006,Fatal,Female,Icelandic,0
2007,Fatal,Female,Icelandic,0
2008,Fatal,Female,Icelandic,0
2009,Fatal,Female,Icelandic,0
2010,Fatal,Female,Icelandic,0
2011,Fatal,Female,Icelandic,0
2012,Fatal,Female,Icelandic,0
2013,Fatal,Female,Icelandic,1
2014,Fatal,Female,Icelandic,0
2015,Fatal,Female,Icelandic,0
2016,Fatal,Female,Icelandic,0
2017,Fatal,Female,Icelandic,0
2018,Fatal,Female,Icelandic,0
2019,Fatal,Female,Icelandic,0
2020,Fatal,Female,Icelandic,0
2021,Fatal,Female,Icelandic,0
2022,Fatal,Female,Icelandic,0
1980,non-fatal,Male,Icelandic,0
1981,non-fatal,Male,Icelandic,0
1982,non-fatal,Male,Icelandic,0
1983,non-fatal,Male,Icelandic,0
1984,non-fatal,Male,Icelandic,264
1985,non-fatal,Male,Icelandic,272
