Year,Kyn,Atvinnugrein,Value
2008,,,1895
2009,,,1965
2010,,,2070
2011,,,2215
2012,,,2310
2013,,,2470
2014,,,2560
2015,,,2755
2016,,,3035
2017,,,3220
2018,,,3260
2019,,,3360
2020,,,3695
2021,,,3910
2022,,,4130
2008,Karl,,2110
2009,Karl,,2160
2010,Karl,,2270
2011,Karl,,2430
2012,Karl,,2530
2013,Karl,,2720
2014,Karl,,2790
2015,Karl,,3010
2016,Karl,,3290
2017,Karl,,3480
2018,Karl,,3500
2019,Karl,,3610
2020,Karl,,3930
2021,Karl,,4120
2022,Karl,,4330
2008,Kona,,1680
2009,Kona,,1770
2010,Kona,,1870
2011,Kona,,2000
2012,Kona,,2090
2013,Kona,,2220
2014,Kona,,2330
2015,Kona,,2500
2016,Kona,,2780
2017,Kona,,2960
2018,Kona,,3020
2019,Kona,,3110
2020,Kona,,3460
2021,Kona,,3700
2022,Kona,,3930
2008,Karl,Alls - án opinberrar stjórnsýslu (O),2080
2009,Karl,Alls - án opinberrar stjórnsýslu (O),2130
2010,Karl,Alls - án opinberrar stjórnsýslu (O),2250
2011,Karl,Alls - án opinberrar stjórnsýslu (O),2400
2012,Karl,Alls - án opinberrar stjórnsýslu (O),2500
2013,Karl,Alls - án opinberrar stjórnsýslu (O),2710
2014,Karl,Alls - án opinberrar stjórnsýslu (O),2760
2015,Karl,Alls - án opinberrar stjórnsýslu (O),2990
2016,Karl,Alls - án opinberrar stjórnsýslu (O),3250
2017,Karl,Alls - án opinberrar stjórnsýslu (O),3440
2018,Karl,Alls - án opinberrar stjórnsýslu (O),3450
2019,Karl,Alls - án opinberrar stjórnsýslu (O),3560
2020,Karl,Alls - án opinberrar stjórnsýslu (O),3880
2021,Karl,Alls - án opinberrar stjórnsýslu (O),4050
2022,Karl,Alls - án opinberrar stjórnsýslu (O),4250
2008,Kona,Alls - án opinberrar stjórnsýslu (O),1650
2009,Kona,Alls - án opinberrar stjórnsýslu (O),1750
2010,Kona,Alls - án opinberrar stjórnsýslu (O),1850
2011,Kona,Alls - án opinberrar stjórnsýslu (O),1970
2012,Kona,Alls - án opinberrar stjórnsýslu (O),2060
2013,Kona,Alls - án opinberrar stjórnsýslu (O),2200
2014,Kona,Alls - án opinberrar stjórnsýslu (O),2300
2015,Kona,Alls - án opinberrar stjórnsýslu (O),2470
2016,Kona,Alls - án opinberrar stjórnsýslu (O),2730
2017,Kona,Alls - án opinberrar stjórnsýslu (O),2910
2018,Kona,Alls - án opinberrar stjórnsýslu (O),2970
2019,Kona,Alls - án opinberrar stjórnsýslu (O),3060
2020,Kona,Alls - án opinberrar stjórnsýslu (O),3410
2021,Kona,Alls - án opinberrar stjórnsýslu (O),3630
2022,Kona,Alls - án opinberrar stjórnsýslu (O),3850
2008,Karl,Almennur vinnumarkaður,2090
2009,Karl,Almennur vinnumarkaður,2150
2010,Karl,Almennur vinnumarkaður,2310
2011,Karl,Almennur vinnumarkaður,2470
2012,Karl,Almennur vinnumarkaður,2580
2013,Karl,Almennur vinnumarkaður,2830
2014,Karl,Almennur vinnumarkaður,2840
2015,Karl,Almennur vinnumarkaður,3070
2016,Karl,Almennur vinnumarkaður,3290
2017,Karl,Almennur vinnumarkaður,3480
2018,Karl,Almennur vinnumarkaður,3460
2019,Karl,Almennur vinnumarkaður,3600
2020,Karl,Almennur vinnumarkaður,3960
2021,Karl,Almennur vinnumarkaður,4080
2022,Karl,Almennur vinnumarkaður,4260
2008,Kona,Almennur vinnumarkaður,1620
2009,Kona,Almennur vinnumarkaður,1720
2010,Kona,Almennur vinnumarkaður,1900
2011,Kona,Almennur vinnumarkaður,2040
2012,Kona,Almennur vinnumarkaður,2150
2013,Kona,Almennur vinnumarkaður,2340
2014,Kona,Almennur vinnumarkaður,2380
2015,Kona,Almennur vinnumarkaður,2580
2016,Kona,Almennur vinnumarkaður,2790
2017,Kona,Almennur vinnumarkaður,2970
2018,Kona,Almennur vinnumarkaður,2910
2019,Kona,Almennur vinnumarkaður,3070
2020,Kona,Almennur vinnumarkaður,3490
2021,Kona,Almennur vinnumarkaður,3520
2022,Kona,Almennur vinnumarkaður,3690
2008,Karl,Opinberir starfsmenn,2170
2009,Karl,Opinberir starfsmenn,2190
2010,Karl,Opinberir starfsmenn,2200
2011,Karl,Opinberir starfsmenn,2340
2012,Karl,Opinberir starfsmenn,2440
2013,Karl,Opinberir starfsmenn,2500
2014,Karl,Opinberir starfsmenn,2680
2015,Karl,Opinberir starfsmenn,2880
2016,Karl,Opinberir starfsmenn,3300
2017,Karl,Opinberir starfsmenn,3500
2018,Karl,Opinberir starfsmenn,3610
2019,Karl,Opinberir starfsmenn,3660
2020,Karl,Opinberir starfsmenn,3890
2021,Karl,Opinberir starfsmenn,4260
2022,Karl,Opinberir starfsmenn,4530
2008,Kona,Opinberir starfsmenn,1710
2009,Kona,Opinberir starfsmenn,1800
2010,Kona,Opinberir starfsmenn,1840
2011,Kona,Opinberir starfsmenn,1950
2012,Kona,Opinberir starfsmenn,2040
2013,Kona,Opinberir starfsmenn,2110
2014,Kona,Opinberir starfsmenn,2310
2015,Kona,Opinberir starfsmenn,2450
2016,Kona,Opinberir starfsmenn,2780
2017,Kona,Opinberir starfsmenn,2950
2018,Kona,Opinberir starfsmenn,3120
2019,Kona,Opinberir starfsmenn,3150
2020,Kona,Opinberir starfsmenn,3450
2021,Kona,Opinberir starfsmenn,3810
2022,Kona,Opinberir starfsmenn,4100
2008,Karl,Opinberir starfsmenn - ríkisstarfsmenn,2400
2009,Karl,Opinberir starfsmenn - ríkisstarfsmenn,2380
2010,Karl,Opinberir starfsmenn - ríkisstarfsmenn,2410
2011,Karl,Opinberir starfsmenn - ríkisstarfsmenn,2590
2012,Karl,Opinberir starfsmenn - ríkisstarfsmenn,2720
2013,Karl,Opinberir starfsmenn - ríkisstarfsmenn,2830
2014,Karl,Opinberir starfsmenn - ríkisstarfsmenn,2970
2015,Karl,Opinberir starfsmenn - ríkisstarfsmenn,3290
2016,Karl,Opinberir starfsmenn - ríkisstarfsmenn,3740
2017,Karl,Opinberir starfsmenn - ríkisstarfsmenn,3920
2018,Karl,Opinberir starfsmenn - ríkisstarfsmenn,4090
2019,Karl,Opinberir starfsmenn - ríkisstarfsmenn,4120
2020,Karl,Opinberir starfsmenn - ríkisstarfsmenn,4350
2021,Karl,Opinberir starfsmenn - ríkisstarfsmenn,4710
2022,Karl,Opinberir starfsmenn - ríkisstarfsmenn,4970
2008,Kona,Opinberir starfsmenn - ríkisstarfsmenn,1950
2009,Kona,Opinberir starfsmenn - ríkisstarfsmenn,1990
2010,Kona,Opinberir starfsmenn - ríkisstarfsmenn,2030
2011,Kona,Opinberir starfsmenn - ríkisstarfsmenn,2170
2012,Kona,Opinberir starfsmenn - ríkisstarfsmenn,2240
2013,Kona,Opinberir starfsmenn - ríkisstarfsmenn,2360
2014,Kona,Opinberir starfsmenn - ríkisstarfsmenn,2530
2015,Kona,Opinberir starfsmenn - ríkisstarfsmenn,2800
2016,Kona,Opinberir starfsmenn - ríkisstarfsmenn,3130
2017,Kona,Opinberir starfsmenn - ríkisstarfsmenn,3300
2018,Kona,Opinberir starfsmenn - ríkisstarfsmenn,3500
2019,Kona,Opinberir starfsmenn - ríkisstarfsmenn,3540
2020,Kona,Opinberir starfsmenn - ríkisstarfsmenn,3860
2021,Kona,Opinberir starfsmenn - ríkisstarfsmenn,4240
2022,Kona,Opinberir starfsmenn - ríkisstarfsmenn,4520
2008,Karl,Opinberir starfsmenn - starfsmenn sveitarfélaga,1840
2009,Karl,Opinberir starfsmenn - starfsmenn sveitarfélaga,1920
2010,Karl,Opinberir starfsmenn - starfsmenn sveitarfélaga,1930
2011,Karl,Opinberir starfsmenn - starfsmenn sveitarfélaga,2040
2012,Karl,Opinberir starfsmenn - starfsmenn sveitarfélaga,2130
2013,Karl,Opinberir starfsmenn - starfsmenn sveitarfélaga,2100
2014,Karl,Opinberir starfsmenn - starfsmenn sveitarfélaga,2290
2015,Karl,Opinberir starfsmenn - starfsmenn sveitarfélaga,2400
2016,Karl,Opinberir starfsmenn - starfsmenn sveitarfélaga,2750
2017,Karl,Opinberir starfsmenn - starfsmenn sveitarfélaga,2950
2018,Karl,Opinberir starfsmenn - starfsmenn sveitarfélaga,3010
2019,Karl,Opinberir starfsmenn - starfsmenn sveitarfélaga,3100
2020,Karl,Opinberir starfsmenn - starfsmenn sveitarfélaga,3350
2021,Karl,Opinberir starfsmenn - starfsmenn sveitarfélaga,3730
2022,Karl,Opinberir starfsmenn - starfsmenn sveitarfélaga,4030
2008,Kona,Opinberir starfsmenn - starfsmenn sveitarfélaga,1570
2009,Kona,Opinberir starfsmenn - starfsmenn sveitarfélaga,1720
2010,Kona,Opinberir starfsmenn - starfsmenn sveitarfélaga,1790
2011,Kona,Opinberir starfsmenn - starfsmenn sveitarfélaga,1890
2012,Kona,Opinberir starfsmenn - starfsmenn sveitarfélaga,1960
2013,Kona,Opinberir starfsmenn - starfsmenn sveitarfélaga,1960
2014,Kona,Opinberir starfsmenn - starfsmenn sveitarfélaga,2130
2015,Kona,Opinberir starfsmenn - starfsmenn sveitarfélaga,2220
2016,Kona,Opinberir starfsmenn - starfsmenn sveitarfélaga,2530
2017,Kona,Opinberir starfsmenn - starfsmenn sveitarfélaga,2700
2018,Kona,Opinberir starfsmenn - starfsmenn sveitarfélaga,2830
2019,Kona,Opinberir starfsmenn - starfsmenn sveitarfélaga,2870
2020,Kona,Opinberir starfsmenn - starfsmenn sveitarfélaga,3170
2021,Kona,Opinberir starfsmenn - starfsmenn sveitarfélaga,3500
2022,Kona,Opinberir starfsmenn - starfsmenn sveitarfélaga,3790
2008,Karl,Fullvinnandi,2250
2009,Karl,Fullvinnandi,2300
2010,Karl,Fullvinnandi,2430
2011,Karl,Fullvinnandi,2570
2012,Karl,Fullvinnandi,2690
2013,Karl,Fullvinnandi,2910
2014,Karl,Fullvinnandi,3020
2015,Karl,Fullvinnandi,3270
2016,Karl,Fullvinnandi,3560
2017,Karl,Fullvinnandi,3770
2018,Karl,Fullvinnandi,3840
2019,Karl,Fullvinnandi,3980
2020,Karl,Fullvinnandi,4250
2021,Karl,Fullvinnandi,4450
2022,Karl,Fullvinnandi,4670
2008,Kona,Fullvinnandi,1860
2009,Kona,Fullvinnandi,1930
2010,Kona,Fullvinnandi,2050
2011,Kona,Fullvinnandi,2180
2012,Kona,Fullvinnandi,2290
2013,Kona,Fullvinnandi,2440
2014,Kona,Fullvinnandi,2580
2015,Kona,Fullvinnandi,2810
2016,Kona,Fullvinnandi,3060
2017,Kona,Fullvinnandi,3280
2018,Kona,Fullvinnandi,3390
2019,Kona,Fullvinnandi,3490
2020,Kona,Fullvinnandi,3820
2021,Kona,Fullvinnandi,4050
2022,Kona,Fullvinnandi,4280
2008,Karl,Hlutastarfsfólk,1580
2009,Karl,Hlutastarfsfólk,1640
2010,Karl,Hlutastarfsfólk,1680
2011,Karl,Hlutastarfsfólk,1830
2012,Karl,Hlutastarfsfólk,1910
2013,Karl,Hlutastarfsfólk,2010
2014,Karl,Hlutastarfsfólk,2120
2015,Karl,Hlutastarfsfólk,2320
2016,Karl,Hlutastarfsfólk,2560
2017,Karl,Hlutastarfsfólk,2670
2018,Karl,Hlutastarfsfólk,2700
2019,Karl,Hlutastarfsfólk,2820
2020,Karl,Hlutastarfsfólk,3140
2021,Karl,Hlutastarfsfólk,3310
2022,Karl,Hlutastarfsfólk,3520
2008,Kona,Hlutastarfsfólk,1420
2009,Kona,Hlutastarfsfólk,1530
2010,Kona,Hlutastarfsfólk,1600
2011,Kona,Hlutastarfsfólk,1720
2012,Kona,Hlutastarfsfólk,1800
2013,Kona,Hlutastarfsfólk,1900
2014,Kona,Hlutastarfsfólk,2080
2015,Kona,Hlutastarfsfólk,2200
2016,Kona,Hlutastarfsfólk,2480
2017,Kona,Hlutastarfsfólk,2620
2018,Kona,Hlutastarfsfólk,2650
2019,Kona,Hlutastarfsfólk,2730
2020,Kona,Hlutastarfsfólk,3080
2021,Kona,Hlutastarfsfólk,3270
2022,Kona,Hlutastarfsfólk,3500
2008,Karl,Framleiðsla (C),1950
2009,Karl,Framleiðsla (C),1990
2010,Karl,Framleiðsla (C),2170
2011,Karl,Framleiðsla (C),2340
2012,Karl,Framleiðsla (C),2410
2013,Karl,Framleiðsla (C),2620
2014,Karl,Framleiðsla (C),2580
2015,Karl,Framleiðsla (C),2800
2016,Karl,Framleiðsla (C),2980
2017,Karl,Framleiðsla (C),3180
2018,Karl,Framleiðsla (C),3380
2019,Karl,Framleiðsla (C),3570
2020,Karl,Framleiðsla (C),3880
2021,Karl,Framleiðsla (C),4080
2022,Karl,Framleiðsla (C),4300
2008,Kona,Framleiðsla (C),1510
2009,Kona,Framleiðsla (C),1560
2010,Kona,Framleiðsla (C),1660
2011,Kona,Framleiðsla (C),1860
2012,Kona,Framleiðsla (C),1930
2013,Kona,Framleiðsla (C),2120
2014,Kona,Framleiðsla (C),2180
2015,Kona,Framleiðsla (C),2350
2016,Kona,Framleiðsla (C),2560
2017,Kona,Framleiðsla (C),2650
2018,Kona,Framleiðsla (C),2810
2019,Kona,Framleiðsla (C),3100
2020,Kona,Framleiðsla (C),3330
2021,Kona,Framleiðsla (C),3530
2022,Kona,Framleiðsla (C),3750
2008,Karl,"Rafmagns-, gas- og hitaveitur (D)",2500
2009,Karl,"Rafmagns-, gas- og hitaveitur (D)",2660
2010,Karl,"Rafmagns-, gas- og hitaveitur (D)",2670
2011,Karl,"Rafmagns-, gas- og hitaveitur (D)",2910
2012,Karl,"Rafmagns-, gas- og hitaveitur (D)",3160
2013,Karl,"Rafmagns-, gas- og hitaveitur (D)",3370
2014,Karl,"Rafmagns-, gas- og hitaveitur (D)",3630
2015,Karl,"Rafmagns-, gas- og hitaveitur (D)",3820
2016,Karl,"Rafmagns-, gas- og hitaveitur (D)",4490
2017,Karl,"Rafmagns-, gas- og hitaveitur (D)",4700
2018,Karl,"Rafmagns-, gas- og hitaveitur (D)",4900
2019,Karl,"Rafmagns-, gas- og hitaveitur (D)",4980
2020,Karl,"Rafmagns-, gas- og hitaveitur (D)",5460
2021,Karl,"Rafmagns-, gas- og hitaveitur (D)",5700
2022,Karl,"Rafmagns-, gas- og hitaveitur (D)",6040
2008,Kona,"Rafmagns-, gas- og hitaveitur (D)",2040
2009,Kona,"Rafmagns-, gas- og hitaveitur (D)",2150
2010,Kona,"Rafmagns-, gas- og hitaveitur (D)",2300
2011,Kona,"Rafmagns-, gas- og hitaveitur (D)",2580
2012,Kona,"Rafmagns-, gas- og hitaveitur (D)",2690
2013,Kona,"Rafmagns-, gas- og hitaveitur (D)",2950
2014,Kona,"Rafmagns-, gas- og hitaveitur (D)",3210
2015,Kona,"Rafmagns-, gas- og hitaveitur (D)",3370
2016,Kona,"Rafmagns-, gas- og hitaveitur (D)",3910
2017,Kona,"Rafmagns-, gas- og hitaveitur (D)",4290
2018,Kona,"Rafmagns-, gas- og hitaveitur (D)",4470
2019,Kona,"Rafmagns-, gas- og hitaveitur (D)",4500
2020,Kona,"Rafmagns-, gas- og hitaveitur (D)",5100
2021,Kona,"Rafmagns-, gas- og hitaveitur (D)",5500
2022,Kona,"Rafmagns-, gas- og hitaveitur (D)",5790
2008,Karl,"Heild- og smásöluverslun, viðgerðir á vélknúnum ökutækjum (G)",1780
2009,Karl,"Heild- og smásöluverslun, viðgerðir á vélknúnum ökutækjum (G)",1860
2010,Karl,"Heild- og smásöluverslun, viðgerðir á vélknúnum ökutækjum (G)",2050
2011,Karl,"Heild- og smásöluverslun, viðgerðir á vélknúnum ökutækjum (G)",2130
2012,Karl,"Heild- og smásöluverslun, viðgerðir á vélknúnum ökutækjum (G)",2210
2013,Karl,"Heild- og smásöluverslun, viðgerðir á vélknúnum ökutækjum (G)",2370
2014,Karl,"Heild- og smásöluverslun, viðgerðir á vélknúnum ökutækjum (G)",2570
2015,Karl,"Heild- og smásöluverslun, viðgerðir á vélknúnum ökutækjum (G)",2880
2016,Karl,"Heild- og smásöluverslun, viðgerðir á vélknúnum ökutækjum (G)",3010
2017,Karl,"Heild- og smásöluverslun, viðgerðir á vélknúnum ökutækjum (G)",3200
2018,Karl,"Heild- og smásöluverslun, viðgerðir á vélknúnum ökutækjum (G)",3290
2019,Karl,"Heild- og smásöluverslun, viðgerðir á vélknúnum ökutækjum (G)",3380
2020,Karl,"Heild- og smásöluverslun, viðgerðir á vélknúnum ökutækjum (G)",3440
2021,Karl,"Heild- og smásöluverslun, viðgerðir á vélknúnum ökutækjum (G)",3690
2022,Karl,"Heild- og smásöluverslun, viðgerðir á vélknúnum ökutækjum (G)",3770
2008,Kona,"Heild- og smásöluverslun, viðgerðir á vélknúnum ökutækjum (G)",1380
2009,Kona,"Heild- og smásöluverslun, viðgerðir á vélknúnum ökutækjum (G)",1420
2010,Kona,"Heild- og smásöluverslun, viðgerðir á vélknúnum ökutækjum (G)",1630
2011,Kona,"Heild- og smásöluverslun, viðgerðir á vélknúnum ökutækjum (G)",1720
2012,Kona,"Heild- og smásöluverslun, viðgerðir á vélknúnum ökutækjum (G)",1800
2013,Kona,"Heild- og smásöluverslun, viðgerðir á vélknúnum ökutækjum (G)",1940
2014,Kona,"Heild- og smásöluverslun, viðgerðir á vélknúnum ökutækjum (G)",2100
2015,Kona,"Heild- og smásöluverslun, viðgerðir á vélknúnum ökutækjum (G)",2310
2016,Kona,"Heild- og smásöluverslun, viðgerðir á vélknúnum ökutækjum (G)",2450
2017,Kona,"Heild- og smásöluverslun, viðgerðir á vélknúnum ökutækjum (G)",2640
2018,Kona,"Heild- og smásöluverslun, viðgerðir á vélknúnum ökutækjum (G)",2820
2019,Kona,"Heild- og smásöluverslun, viðgerðir á vélknúnum ökutækjum (G)",2910
2020,Kona,"Heild- og smásöluverslun, viðgerðir á vélknúnum ökutækjum (G)",3120
2021,Kona,"Heild- og smásöluverslun, viðgerðir á vélknúnum ökutækjum (G)",3350
2022,Kona,"Heild- og smásöluverslun, viðgerðir á vélknúnum ökutækjum (G)",3510
2008,Karl,Flutningar og geymsla (H),2070
2009,Karl,Flutningar og geymsla (H),2100
2010,Karl,Flutningar og geymsla (H),2210
2011,Karl,Flutningar og geymsla (H),2330
2012,Karl,Flutningar og geymsla (H),2420
2013,Karl,Flutningar og geymsla (H),2700
2014,Karl,Flutningar og geymsla (H),2760
2015,Karl,Flutningar og geymsla (H),3000
2016,Karl,Flutningar og geymsla (H),3290
2017,Karl,Flutningar og geymsla (H),3370
2018,Karl,Flutningar og geymsla (H),3540
2019,Karl,Flutningar og geymsla (H),3840
2020,Karl,Flutningar og geymsla (H),4160
2021,Karl,Flutningar og geymsla (H),4350
2022,Karl,Flutningar og geymsla (H),4590
2008,Kona,Flutningar og geymsla (H),1590
2009,Kona,Flutningar og geymsla (H),1680
2010,Kona,Flutningar og geymsla (H),1850
2011,Kona,Flutningar og geymsla (H),1950
2012,Kona,Flutningar og geymsla (H),2050
2013,Kona,Flutningar og geymsla (H),2200
2014,Kona,Flutningar og geymsla (H),2240
2015,Kona,Flutningar og geymsla (H),2420
2016,Kona,Flutningar og geymsla (H),2630
2017,Kona,Flutningar og geymsla (H),2800
2018,Kona,Flutningar og geymsla (H),3030
2019,Kona,Flutningar og geymsla (H),3220
2020,Kona,Flutningar og geymsla (H),3700
2021,Kona,Flutningar og geymsla (H),3760
2022,Kona,Flutningar og geymsla (H),3900
2018,Karl,Rekstur gististaða og veitingarekstur (I),2330
2019,Karl,Rekstur gististaða og veitingarekstur (I),2510
2020,Karl,Rekstur gististaða og veitingarekstur (I),2890
2021,Karl,Rekstur gististaða og veitingarekstur (I),2910
2022,Karl,Rekstur gististaða og veitingarekstur (I),3040
2018,Kona,Rekstur gististaða og veitingarekstur (I),2210
2019,Kona,Rekstur gististaða og veitingarekstur (I),2340
2020,Kona,Rekstur gististaða og veitingarekstur (I),2720
2021,Kona,Rekstur gististaða og veitingarekstur (I),2710
2022,Kona,Rekstur gististaða og veitingarekstur (I),2910
2008,Karl,Upplýsingar og fjarskipti (J),2660
2009,Karl,Upplýsingar og fjarskipti (J),2560
2010,Karl,Upplýsingar og fjarskipti (J),2810
2011,Karl,Upplýsingar og fjarskipti (J),2880
2012,Karl,Upplýsingar og fjarskipti (J),3130
2013,Karl,Upplýsingar og fjarskipti (J),3120
2014,Karl,Upplýsingar og fjarskipti (J),3290
2015,Karl,Upplýsingar og fjarskipti (J),3460
2016,Karl,Upplýsingar og fjarskipti (J),3850
2017,Karl,Upplýsingar og fjarskipti (J),3960
